FEMA Code,Year,State,Official FEMA Name,Declaration URL,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7,Term 8,Term 9,Term 10,Term 11,Term 12,Term 13,Term 14,Term 15,Term 16,Term 17,Term 18,Term 19,Term 20
4339,2017,Puerto Rico,Puerto Rico Hurricane Maria,https://www.fema.gov/disaster/4339,Hurricane Maria Puerto Rico,Hurricane Maria San Juan,Yabucoa Hurricane Maria,Hurricane Maria Puerto Rico 2017,Puerto Rico power grid Maria,Hurricane Maria Guayama,Hurricane Maria Fajardo,Hurricane Maria landfall Yabucoa,Maria Puerto Rico 2017,Hurricane Maria power outage Puerto Rico,,,,,,,,,,
1603,2005,Louisiana,Louisiana Hurricane Katrina,https://www.fema.gov/disaster/1603,New Orleans flood Katrina,Ninth Ward flood,Lakeview New Orleans flood,St. Bernard Parish flood,Metairie flood Katrina,Chalmette flood Katrina,Slidell Katrina,,,,,,,,,,,,,
4340,2017,U.S. Virgin Islands,U.S. Virgin Islands Hurricane Maria,https://www.fema.gov/disaster/4340,Hurricane Maria U.S. Virgin Islands,Hurricane Maria St. Croix,St. Croix Hurricane Maria 2017,Hurricane Maria USVI,Maria U.S. Virgin Islands 2017,St. Croix hurricane September 2017,,,,,,,,,,,,,,
4085,2012,New York,New York Hurricane Sandy,https://www.fema.gov/disaster/4085,Rockaway Beach Sandy,Staten Island Sandy flood,Long Beach NY Sandy,Breezy Point fire Sandy,Coney Island Sandy,Midland Beach Staten Island Sandy,Superstorm Sandy,Superstorm Sandy New York,Red Hook Brooklyn Sandy,Howard Beach Queens Sandy,Lower Manhattan Sandy flood,Far Rockaway Sandy,South Street Seaport Sandy,New Dorp Beach Sandy,Oakwood Beach Staten Island Sandy,,,,,
4332,2017,Texas,Texas Hurricane Harvey,https://www.fema.gov/disaster/4332,Houston Harvey flood,Beaumont Harvey,Rockport Harvey,Port Arthur Harvey flood,Cypress Creek Harvey,Meyerland Houston flood Harvey,Katy Texas Harvey,Sugar Land Harvey flood,Barker Reservoir Harvey,Addicks Reservoir Harvey,Dickinson Texas Harvey,League City Harvey,,,,,,,,
1604,2005,Mississippi,Mississippi Hurricane Katrina,https://www.fema.gov/disaster/1604,Hurricane Katrina Mississippi,Biloxi Katrina,Gulfport Katrina,Bay St. Louis Katrina,Pass Christian Katrina,Waveland Katrina,Long Beach Mississippi Katrina,Pascagoula Katrina,Mississippi Gulf Coast Katrina,Hancock County Katrina,,,,,,,,,,
4336,2017,Puerto Rico,Puerto Rico Hurricane Irma,https://www.fema.gov/disaster/4336,Hurricane Irma Puerto Rico,Hurricane Irma Culebra,Hurricane Irma Vieques,Hurricane Irma Puerto Rico 2017,Fajardo Hurricane Irma,Puerto Rico power outage Irma 2017,Irma Puerto Rico,,,,,,,,,,,,,
4673,2022,Florida,Florida Hurricane Ian,https://www.fema.gov/disaster/4673,Fort Myers Beach Ian,Sanibel Island Ian,Cape Coral Ian flood,Pine Island Ian,Estero Florida Ian,Punta Gorda Ian,Bonita Springs Ian,North Fort Myers Ian,Charlotte Harbor Ian,,,,,,,,,,,
1607,2005,Louisiana,Louisiana Hurricane Rita,https://www.fema.gov/disaster/1607,Hurricane Rita Louisiana,Hurricane Rita Cameron Parish,Lake Charles Hurricane Rita,Holly Beach Rita,Cameron Louisiana Rita,Creole Louisiana Rita,Hurricane Rita Lake Charles flood,Hurricane Rita 2005 Louisiana,Johnson's Bayou Rita,Abbeville Rita,,,,,,,,,,
4611,2021,Louisiana,Louisiana Hurricane Ida,https://www.fema.gov/disaster/4611,Grand Isle Ida,Houma Ida flood,Thibodaux Ida,Laplace Louisiana Ida,Metairie flood Ida,Kenner Louisiana Ida,Coteau Holmes Ida,Port Fourchon Ida,,,,,,,,,,,,
4086,2012,New Jersey,New Jersey Hurricane Sandy,https://www.fema.gov/disaster/4086,Toms River Sandy,Seaside Heights Sandy,Hoboken NJ Sandy flood,Point Pleasant Sandy,Moonachie flood Sandy,Little Ferry NJ Sandy,Union Beach Sandy,Sea Bright NJ Sandy,Superstorm Sandy New Jersey,Mantoloking NJ Sandy,Ortley Beach Sandy,Brick Township Sandy,Keansburg NJ Sandy,Belmar NJ Sandy,Long Beach Island Sandy,Sayreville NJ Sandy flood,,,,
4337,2017,Florida,Florida Hurricane Irma,https://www.fema.gov/disaster/4337,Hurricane Irma Florida Keys,Hurricane Irma Cudjoe Key,Hurricane Irma Marco Island,Hurricane Irma Naples,Big Pine Key Irma,Marathon Florida Irma,Hurricane Irma Florida 2017,Collier County Irma,Hurricane Irma Miami flooding,Fort Myers Irma,,,,,,,,,,
1791,2008,Texas,Texas Hurricane Ike,https://www.fema.gov/disaster/1791,Hurricane Ike Galveston,Hurricane Ike Texas,Bolivar Peninsula Ike,Crystal Beach Ike,Hurricane Ike Houston,Galveston flood Ike 2008,Hurricane Ike 2008 Texas,Gilchrist Texas Ike,Seabrook Ike,Hurricane Ike storm surge Galveston,,,,,,,,,,
4559,2020,Louisiana,Louisiana Hurricane Laura,https://www.fema.gov/disaster/4559,Hurricane Laura Lake Charles,Hurricane Laura Louisiana,Hurricane Laura Cameron Parish,Lake Charles hurricane 2020,Calcasieu Parish Laura,Sulphur Louisiana Laura,Hurricane Laura 2020 Louisiana,Vinton Louisiana Laura,Creole Louisiana Laura 2020,Hurricane Laura damage Lake Charles,,,,,,,,,,
4399,2018,Florida,Florida Hurricane Michael,https://www.fema.gov/disaster/4399,Mexico Beach Michael,Panama City Beach Michael,Lynn Haven Florida Michael,Marianna Florida Michael,Callaway Florida Michael,Parker Florida Michael,Bay County Michael,,,,,,,,,,,,,
4827,2024,North Carolina,North Carolina Tropical Storm Helene,https://www.fema.gov/disaster/4827,Asheville Helene flood,Swannanoa NC Helene,Black Mountain NC Helene,Boone NC Helene,Spruce Pine NC Helene,Marshall NC Helene,Yancey County Helene,Burnsville NC Helene,Hot Springs NC Helene,Hurricane Helene Asheville,Hurricane Helene North Carolina,Chimney Rock NC Helene,French Broad River Flood Helene,,,,,,,
4834,2024,Florida,Florida Hurricane Milton,https://www.fema.gov/disaster/4834,Hurricane Milton Florida,Hurricane Milton Siesta Key,Hurricane Milton Sarasota,Hurricane Milton Tampa Bay,Hurricane Milton Bradenton,Hurricane Milton Anna Maria Island,Hurricane Milton St. Petersburg,Hurricane Milton Englewood,Hurricane Milton 2024,Hurricane Milton Manasota Key,,,,,,,,,,
4407,2018,California,California Wildfires,https://www.fema.gov/disaster/4407,Paradise fire,Butte County fire 2018,Concow fire,Magalia fire,Paradise California,Camp Fire,Feather River Canyon Fire,Butte County wildfire November 2018,Concow Wildfire,Pulga California fire 2018,Camp Fire Paradise 2018,,,,,,,,,
4724,2023,Hawaii,Hawaii Wildfires and High Winds,https://www.fema.gov/disaster/4724,Lahaina fire,Lahaina wildfire,Maui fire August 2023,West Maui fire,Lahaina destroyed,Kula fire Maui,Upcountry Maui fire,Lahaina Front Street fire,Lahaina evacuation 2023,Maui disaster 2023,,,,,,,,,,
4671,2022,Puerto Rico,Puerto Rico Hurricane Fiona,https://www.fema.gov/disaster/4671,Hurricane Fiona Puerto Rico,Hurricane Fiona Punta Tocon,Hurricane Fiona Utuado,Hurricane Fiona Cayey,Hurricane Fiona Ponce,Hurricane Fiona Caguas,Hurricane Fiona 2022,Hurricane Fiona Salinas,Puerto Rico blackout Fiona,Hurricane Fiona Arecibo,,,,,,,,,,
4277,2016,Louisiana,Louisiana Severe Storms and Flooding,https://www.fema.gov/disaster/4277,Denham Springs flood 2016,Walker Louisiana flood,Watson Louisiana flood,Baton Rouge flood August 2016,Livingston Parish flood 2016,Ascension Parish flood,Tangipahoa Parish flood 2016,Hammond Louisiana flood,Prairieville flood 2016,Gonzales Louisiana flood,Comite River flood 2016,Baker Louisiana flood 2016,no-name storm Louisiana,Great Flood of 2016,August 2016 Louisiana flood,Amite River flood 2016,Central Louisiana flood August 2016,,,
4828,2024,Florida,Florida Hurricane Helene,https://www.fema.gov/disaster/4828,Hurricane Helene Florida,Hurricane Helene Perry Florida,Hurricane Helene Keaton Beach,Hurricane Helene Steinhatchee,Hurricane Helene Cedar Key,Hurricane Helene Taylor County,Hurricane Helene Big Bend,Hurricane Helene Dekle Beach,Hurricane Helene 2024 Florida,Hurricane Helene Tampa surge,,,,,,,,,,
1609,2005,Florida,Florida Hurricane Wilma,https://www.fema.gov/disaster/1609,Hurricane Wilma Florida,Hurricane Wilma Cape Romano,Hurricane Wilma Naples,Hurricane Wilma Marco Island,Hurricane Wilma Everglades City,Hurricane Wilma Collier County,Hurricane Wilma Broward,Hurricane Wilma Key West,Hurricane Wilma 2005,Hurricane Wilma Miami-Dade,,,,,,,,,,
