incident_number,year,incident_type,state,Common Name 1,Common Name 2,Common Name 3,source,confidence,candidate_frequency,sample_url
1490,2003,Hurricane,NC,Hurricane Isabel,,,fema_title,med,,
1491,2003,Hurricane,VA,Hurricane Isabel,,,fema_title,med,,
1492,2003,Hurricane,MD,Hurricane Isabel,,,fema_title,med,,
1493,2003,Hurricane,DC,Hurricane Isabel,,,fema_title,med,,
1494,2003,Hurricane,DE,Hurricane Isabel,,,fema_title,med,,
1496,2003,Hurricane,WV,Hurricane Isabel,,,fema_title,med,,
1504,2003,Typhoon,FM,Typhoon Lupit,,,fema_title,med,,
1511,2004,Typhoon,FM,Typhoon Sudal,,,fema_title,med,,
1533,2004,Severe Storm,GU,Tropical Storm Tingting,,,fema_title,med,,
1539,2004,Hurricane,FL,Hurricane Charley,,,fema_title,med,,
1540,2004,Fire,NV,Wildland Fire,,,fema_title,med,,
1541,2004,Typhoon,MP,Typhoon Ch,,,fema_title,med,,
1543,2004,Hurricane,SC,Hurricane Charley,,,fema_title,med,,
1545,2004,Hurricane,FL,Hurricane Frances,,,fema_title,med,,
1547,2004,Severe Storm,SC,Tropical Storm Gaston,,,fema_title,med,,
1548,2004,Hurricane,LA,Hurricane Ivan,,,fema_title,med,,
1549,2004,Hurricane,AL,Hurricane Ivan,,,fema_title,med,,
1550,2004,Hurricane,MS,Hurricane Ivan,,,fema_title,med,,
1551,2004,Hurricane,FL,Hurricane Ivan,,,fema_title,med,,
1552,2004,Severe Storm,PR,Tropical Storm Jeanne,,,fema_title,med,,
1553,2004,Hurricane,NC,Hurricane Ivan,,,fema_title,med,,
1554,2004,Hurricane,GA,Hurricane Ivan,,,fema_title,med,,
1561,2004,Hurricane,FL,Hurricane Jeanne,,,fema_title,med,,
1570,2004,Severe Storm,VA,Hurricane Jeanne,,,fema_title,med,,
1593,2005,Hurricane,AL,Hurricane Dennis,,,fema_title,med,,
1594,2005,Hurricane,MS,Hurricane Dennis,,,fema_title,med,,
1595,2005,Hurricane,FL,Hurricane Dennis,,,fema_title,med,,
1602,2005,Hurricane,FL,Hurricane Katrina,,,fema_title,med,,
1604,2005,Hurricane,MS,Hurricane Katrina,,,fema_title,med,,
1605,2005,Hurricane,AL,Hurricane Katrina,,,fema_title,med,,
1608,2005,Hurricane,NC,Hurricane Ophelia,,,fema_title,med,,
1609,2005,Hurricane,FL,Hurricane Wilma,,,fema_title,med,,
1611,2005,Typhoon,MP,Typhoon Nabi,,,fema_title,med,,
1730,2007,Severe Storm,TX,Tropical Storm Erin,,,fema_title,med,,
1780,2008,Hurricane,TX,Hurricane Dolly,,,fema_title,med,,
1785,2008,Severe Storm,FL,Tropical Storm Fay,,,fema_title,med,,
