"year","event","incident_number","incident_start","incident_end","declaration_date","declaration_url","state","incident_type","valid_ihp_applications","eligible_ihp_applications","ihp_eligibility_rate","ihp_average_award","ihp_total","pa_total","pa_projects_count","cdbg_dr_allocation","frn1_date","frn1_days_since_disaster","frn1_url","frn1_grantee1_name","frn1_grantee1_url","frn1_grantee1_amount","frn1_grantee2_name","frn1_grantee2_url","frn1_grantee2_amount","frn1_grantee3_name","frn1_grantee3_url","frn1_grantee3_amount","frn1_grantee4_name","frn1_grantee4_url","frn1_grantee4_amount","frn1_grantee5_name","frn1_grantee5_url","frn1_grantee5_amount","frn1_grantee6_name","frn1_grantee6_url","frn1_grantee6_amount","frn1_grantee7_name","frn1_grantee7_url","frn1_grantee7_amount","frn1_grantee8_name","frn1_grantee8_url","frn1_grantee8_amount","frn1_grantee9_name","frn1_grantee9_url","frn1_grantee9_amount","frn2_date","frn2_url","frn2_grantee1_name","frn2_grantee1_url","frn2_grantee1_amount","frn2_grantee2_name","frn2_grantee2_url","frn2_grantee2_amount","frn2_grantee3_name","frn2_grantee3_url","frn2_grantee3_amount","frn2_grantee4_name","frn2_grantee4_url","frn2_grantee4_amount","frn3_date","frn3_url","frn3_grantee1_name","frn3_grantee1_url","frn3_grantee1_amount","frn3_grantee2_name","frn3_grantee2_url","frn3_grantee2_amount","frn3_grantee3_name","frn3_grantee3_url","frn3_grantee3_amount","frn3_grantee4_name","frn3_grantee4_url","frn3_grantee4_amount","frn4_date","frn4_url","frn4_grantee1_name","frn4_grantee1_url","frn4_grantee1_amount"
2025,"Arkansas Severe Storms and Tornadoes",4865,"2025-03-14","2025-03-15","2025-05-08","https://www.fema.gov/disaster/4865","AR","Severe Storm",131,2,1.53,13223.47,26446.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"Kentucky Severe Storms, Straight-Line Winds, Tornadoes, Flooding, Landslides, and Mudslides",4864,"2025-04-02",NA,"2025-04-24","https://www.fema.gov/disaster/4864","KY","Severe Storm",2686,1322,49.22,7871.61,10406272.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"West Virginia Severe Storm, Straight-Line Winds, Flooding, Landslides, and Mudslides",4861,"2025-02-15","2025-02-18","2025-02-26","https://www.fema.gov/disaster/4861","WV","Severe Storm",5227,3816,73.01,7314.97,27913914.96,237308.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"Kentucky Severe Storms, Straight-Line Winds, Flooding, Landslides, and Mudslides",4860,"2025-02-14","2025-03-07","2025-02-24","https://www.fema.gov/disaster/4860","KY","Severe Storm",9957,6843,68.73,6262.48,42854130.11,600883.51,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Alaska Severe Storm and Flooding",4859,"2024-10-20","2024-10-23","2025-01-15","https://www.fema.gov/disaster/4859","AK","Severe Storm",NA,NA,NA,NA,NA,97027.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"South Carolina Severe Storms and Flooding",4858,"2024-11-06","2024-11-14","2025-01-10","https://www.fema.gov/disaster/4858","SC","Flood",NA,NA,NA,NA,NA,6000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"California Wildfires and Straight-Line Winds",4856,"2025-01-07","2025-01-31","2025-01-08","https://www.fema.gov/disaster/4856","CA","Fire",261000,34356,13.16,3836.77,131815943.68,5230906.91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Missouri Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4855,"2024-11-03","2024-11-09","2025-01-01","https://www.fema.gov/disaster/4855","MO","Severe Storm",NA,NA,NA,NA,NA,1015506.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Oregon Wildfires",4854,"2024-07-10","2024-08-23","2025-01-01","https://www.fema.gov/disaster/4854","OR","Fire",NA,NA,NA,NA,NA,1514756.55,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"North Dakota Wildfires and Straight-Line Winds",4852,"2024-10-05","2024-10-06","2024-12-24","https://www.fema.gov/disaster/4852","ND","Fire",NA,NA,NA,NA,NA,155709.89,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
