"state_name","district_label","district_number","representative","party","total_applicants","total_funding","funding_per_applicant","n_zips","disaster_numbers","NAMELSAD","STATEFP"
"Alabama","Alabama District 1",1,"Barry Moore","Republican",503,568276.8,1129.77495029821,30,"4596,4632,4673,4684,4715,4834","Congressional District 1","01"
"Alabama","Alabama District 2",2,"Shomari Figures","Democrat",835,2516723.63,3014.0402754491,20,"4596,4611,4684","Congressional District 2","01"
"Alabama","Alabama District 3",3,"Mike Rogers","Republican",467,1040807.83,2228.71055674518,30,"4596,4632,4673,4684","Congressional District 3","01"
"Alabama","Alabama District 4",4,"Robert B. Aderholt","Republican",13,14587.29,1122.09923076923,4,"4596,4673,4684","Congressional District 4","01"
"Alabama","Alabama District 5",5,"Dale W. Strong","Republican",89,65974.3,741.284269662921,9,"4596,4673,4684","Congressional District 5","01"
"Alabama","Alabama District 6",6,"Gary J. Palmer","Republican",1130,2428168.54,2148.82171681416,41,"4596,4632,4684","Congressional District 6","01"
"Alabama","Alabama District 7",7,"Terri A. Sewell","Democrat",4437,7504140.85,1691.26455938697,55,"4596,4632,4684,4834","Congressional District 7","01"
"Alaska","Alaska At-Large",0,"Nicholas J. Begich III","Republican",4210,55222144.7,13116.8989786223,69,"4671,4672,4715,4730,4763,4836,4893","Congressional District (at Large)","02"
"Arizona","Arizona District 1",1,"David Schweikert","Republican",293,555254.27,1895.06576791809,21,"4668","Congressional District 1","04"
"Arizona","Arizona District 2",2,"Elijah Crane","Republican",103,1177369.92,11430.7759223301,26,"4668,4833,4840","Congressional District 2","04"
"Arizona","Arizona District 3",3,"Yassamin Ansari","Democrat",59,0,0,19,"4668","Congressional District 3","04"
"Arizona","Arizona District 4",4,"Greg Stanton","Democrat",99,162832.28,1644.7705050505,14,"4668","Congressional District 4","04"
"Arizona","Arizona District 5",5,"Andy Biggs","Republican",44,0,0,16,"4668","Congressional District 5","04"
"Arizona","Arizona District 6",6,"Juan Ciscomani","Republican",71,0,0,29,"4668","Congressional District 6","04"
"Arizona","Arizona District 7",7,"Adelita S. Grijalva","Democrat",90,0,0,25,"4668","Congressional District 7","04"
"Arizona","Arizona District 8",8,"Abraham J. Hamadeh","Republican",34,0,0,15,"4668","Congressional District 8","04"
"Arizona","Arizona District 9",9,"Paul A. Gosar","Republican",39,0,0,22,"4668","Congressional District 9","04"
"Arkansas","Arkansas District 1",1,"Eric A. ""Rick"" Crawford","Republican",7536,23886464.27,3169.64759421444,137,"4633,4698,4788,4865,4873","Congressional District 1","05"
"Arkansas","Arkansas District 2",2,"J. French Hill","Republican",10335,10790481.17,1044.07171456217,38,"4611,4698,4873","Congressional District 2","05"
"Arkansas","Arkansas District 3",3,"Steve Womack","Republican",5355,6177140.48,1153.52763398693,22,"4586,4788","Congressional District 3","05"
"Arkansas","Arkansas District 4",4,"Bruce Westerman","Republican",1639,5803368.26,3540.79820622331,18,"4586,4698,4865,4873","Congressional District 4","05"
"California","California District 1",1,NA,NA,830,983853.17,1185.36526506024,41,"4610,4683,4699,4707","Congressional District 1","06"
"California","California District 2",2,"Jared Huffman","Democrat",1355,5695668.72,4203.4455498155,37,"4610,4683,4699,4707","Congressional District 2","06"
"California","California District 3",3,"Kevin Kiley","Independent",2900,5865008.3,2022.41665517241,61,"4610,4683,4699,4715,4856","Congressional District 3","06"
"California","California District 4",4,"Mike Thompson","Democrat",1,0,0,1,"4707","Congressional District 4","06"
"California","California District 5",5,"Tom McClintock","Republican",3486,12891612.82,3698.11039013196,59,"4610,4683,4699,4707","Congressional District 5","06"
"California","California District 6",6,"Ami Bera","Democrat",1568,1385727.49,883.754776785714,25,"4683,4707","Congressional District 6","06"
"California","California District 7",7,"Doris O. Matsui","Democrat",1907,1377152.68,722.156622968013,26,"4683,4707","Congressional District 7","06"
"California","California District 8",8,"John Garamendi","Democrat",521,804247.31,1543.66086372361,15,"4610,4683,4707","Congressional District 8","06"
