"State","Congressional District","Representative","Party","Total Applicants","Total Funding","Funding per Applicant","Number of ZIP Codes"
"Alabama","Alabama District 1","Barry Moore","Republican",503,568276.8,1129.77495029821,30
"Alabama","Alabama District 2","Shomari Figures","Democrat",835,2516723.63,3014.0402754491,20
"Alabama","Alabama District 3","Mike Rogers","Republican",467,1040807.83,2228.71055674518,30
"Alabama","Alabama District 4","Robert B. Aderholt","Republican",13,14587.29,1122.09923076923,4
"Alabama","Alabama District 5","Dale W. Strong","Republican",89,65974.3,741.284269662921,9
"Alabama","Alabama District 6","Gary J. Palmer","Republican",1130,2428168.54,2148.82171681416,41
"Alabama","Alabama District 7","Terri A. Sewell","Democrat",4437,7504140.85,1691.26455938697,55
"Alaska","Alaska At-Large","Nicholas J. Begich III","Republican",4210,55222144.7,13116.8989786223,69
"Arizona","Arizona District 1","David Schweikert","Republican",293,555254.27,1895.06576791809,21
"Arizona","Arizona District 2","Elijah Crane","Republican",103,1177369.92,11430.7759223301,26
"Arizona","Arizona District 3","Yassamin Ansari","Democrat",59,0,0,19
"Arizona","Arizona District 4","Greg Stanton","Democrat",99,162832.28,1644.7705050505,14
"Arizona","Arizona District 5","Andy Biggs","Republican",44,0,0,16
"Arizona","Arizona District 6","Juan Ciscomani","Republican",71,0,0,29
"Arizona","Arizona District 7","Adelita S. Grijalva","Democrat",90,0,0,25
"Arizona","Arizona District 8","Abraham J. Hamadeh","Republican",34,0,0,15
"Arizona","Arizona District 9","Paul A. Gosar","Republican",39,0,0,22
"Arkansas","Arkansas District 1","Eric A. ""Rick"" Crawford","Republican",7536,23886464.27,3169.64759421444,137
"Arkansas","Arkansas District 2","J. French Hill","Republican",10335,10790481.17,1044.07171456217,38
"Arkansas","Arkansas District 3","Steve Womack","Republican",5355,6177140.48,1153.52763398693,22
"Arkansas","Arkansas District 4","Bruce Westerman","Republican",1639,5803368.26,3540.79820622331,18
"California","California District 1",NA,NA,830,983853.17,1185.36526506024,41
"California","California District 2","Jared Huffman","Democrat",1355,5695668.72,4203.4455498155,37
"California","California District 3","Kevin Kiley","Independent",2900,5865008.3,2022.41665517241,61
"California","California District 4","Mike Thompson","Democrat",1,0,0,1
"California","California District 5","Tom McClintock","Republican",3486,12891612.82,3698.11039013196,59
"California","California District 6","Ami Bera","Democrat",1568,1385727.49,883.754776785714,25
"California","California District 7","Doris O. Matsui","Democrat",1907,1377152.68,722.156622968013,26
"California","California District 8","John Garamendi","Democrat",521,804247.31,1543.66086372361,15
"California","California District 9","Josh Harder","Democrat",2009,3625027.1,1804.393777999,26
"California","California District 10","Mark DeSaulnier","Democrat",1159,3069066.23,2648.0295340811,27
"California","California District 11","Nancy Pelosi","Democrat",0,0,NA,0
"California","California District 12","Lateefah Simon","Democrat",1349,3372761.64,2500.19395107487,25
"California","California District 13","Adam Gray","Democrat",3392,5493444.04,1619.52949292453,30
"California","California District 14","Eric Swalwell","Democrat",714,2260717.11,3166.27046218487,17
"California","California District 15","Kevin Mullin","Democrat",909,3624830.25,3987.71204620462,16
"California","California District 16","Sam T. Liccardo","Democrat",778,2732855.84,3512.6681748072,34
"California","California District 17","Ro Khanna","Democrat",114,72964.38,640.038421052632,16
"California","California District 18","Zoe Lofgren","Democrat",4706,13688389.99,2908.71015512112,30
"California","California District 19","Jimmy Panetta","Democrat",6553,26473689.76,4039.934344575,43
"California","California District 20","Vince Fong","Republican",2195,6617712.12,3014.90301594533,38
"California","California District 21","Jim Costa","Democrat",309,531217.02,1719.14893203884,11
"California","California District 22","David G. Valadao","Republican",706,1292812.43,1831.17907932011,22
"California","California District 23","Jay Obernolte","Republican",2377,3939740.84,1657.44250736222,50
"California","California District 24","Salud O. Carbajal","Democrat",3702,9396292.46,2538.16652079957,38
"California","California District 25","Raul Ruiz","Democrat",4,0,0,3
"California","California District 26","Julia Brownley","Democrat",2238,2097516.15,937.227949061662,23
"California","California District 27","George Whitesides","Democrat",3630,1665894.98,458.924236914601,19
"California","California District 28","Judy Chu","Democrat",36170,88407669.96,2444.22642963782,32
"California","California District 29","Luz M. Rivas","Democrat",6634,1881113.92,283.556514923123,14
"California","California District 30","Laura Friedman","Democrat",47390,10126550.56,213.685388478582,30
"California","California District 31","Gilbert Ray Cisneros, Jr.","Democrat",2466,508473.58,206.193665855637,19
