"state_name","district_label","district_number","representative","party","total_applicants","total_funding","funding_per_applicant","n_zips","disaster_numbers","NAMELSAD","STATEFP"
"Alabama","Alabama District 1",1,"Barry Moore","Republican",502,568276.8,1132.02549800797,30,"4596,4632,4673,4684,4715","Congressional District 1","01"
"Alabama","Alabama District 2",2,"Shomari Figures","Democratic",835,2516723.63,3014.0402754491,20,"4596,4611,4684","Congressional District 2","01"
"Alabama","Alabama District 3",3,"Mike Rogers","Republican",467,1040807.83,2228.71055674518,30,"4596,4632,4673,4684","Congressional District 3","01"
"Alabama","Alabama District 4",4,"Robert Aderholt","Republican",13,14587.29,1122.09923076923,4,"4596,4673,4684","Congressional District 4","01"
"Alabama","Alabama District 5",5,"Dale Strong","Republican",89,65974.3,741.284269662921,9,"4596,4673,4684","Congressional District 5","01"
"Alabama","Alabama District 6",6,"Gary Palmer","Republican",1130,2428168.54,2148.82171681416,41,"4596,4632,4684","Congressional District 6","01"
"Alabama","Alabama District 7",7,"Terri Sewell","Democratic",4436,7457729.78,1681.1834490532,55,"4596,4632,4684,4834","Congressional District 7","01"
"Alaska","Alaska At-Large",0,"Nick Begich III","Republican",1922,13714592.89,7135.58422996878,58,"4671,4672,4715,4730,4763,4836","Congressional District (at Large)","02"
"Arizona","Arizona District 1",1,"David Schweikert","Republican",293,555254.27,1895.06576791809,21,"4668","Congressional District 1","04"
"Arizona","Arizona District 2",2,"Eli Crane","Republican",103,1167720.92,11337.0963106796,26,"4668,4833,4840","Congressional District 2","04"
"Arizona","Arizona District 3",3,"Yassamin Ansari","Democratic",59,0,0,19,"4668","Congressional District 3","04"
"Arizona","Arizona District 4",4,"Greg Stanton","Democratic",99,162832.28,1644.7705050505,14,"4668","Congressional District 4","04"
"Arizona","Arizona District 5",5,"Andy Biggs","Republican",44,0,0,16,"4668","Congressional District 5","04"
"Arizona","Arizona District 6",6,"Juan Ciscomani","Republican",71,0,0,29,"4668","Congressional District 6","04"
"Arizona","Arizona District 7",7,"Raúl Grijalva","Democratic",90,0,0,25,"4668","Congressional District 7","04"
"Arizona","Arizona District 8",8,"Abraham Hamadeh","Republican",34,0,0,15,"4668","Congressional District 8","04"
"Arizona","Arizona District 9",9,"Paul Gosar","Republican",39,0,0,22,"4668","Congressional District 9","04"
"Arkansas","Arkansas District 1",1,"Rick Crawford","Republican",3440,7152649.93,2079.2587005814,76,"4633,4698,4788","Congressional District 1","05"
"Arkansas","Arkansas District 2",2,"French Hill","Republican",7120,5549968.67,779.489981741573,25,"4611,4698","Congressional District 2","05"
"Arkansas","Arkansas District 3",3,"Steve Womack","Republican",5353,5977788.87,1116.71751728003,22,"4586,4788","Congressional District 3","05"
"Arkansas","Arkansas District 4",4,"Bruce Westerman","Republican",124,105726.17,852.630403225806,3,"4586,4698","Congressional District 4","05"
"California","California District 1",1,"Doug LaMalfa","Republican",830,983853.17,1185.36526506024,41,"4610,4683,4699,4707","Congressional District 1","06"
"California","California District 2",2,"Jared Huffman","Democratic",1355,5695668.72,4203.4455498155,37,"4610,4683,4699,4707","Congressional District 2","06"
"California","California District 3",3,"Kevin Kiley","Republican",2898,5865008.3,2023.81238785369,61,"4610,4683,4699,4715","Congressional District 3","06"
"California","California District 4",4,"Mike Thompson","Democratic",1,0,0,1,"4707","Congressional District 4","06"
"California","California District 5",5,"Tom McClintock","Republican",3486,12891612.82,3698.11039013196,59,"4610,4683,4699,4707","Congressional District 5","06"
"California","California District 6",6,"Ami Bera","Democratic",1568,1379633.58,879.868354591837,25,"4683,4707","Congressional District 6","06"
"California","California District 7",7,"Doris Matsui","Democratic",1907,1377012.68,722.083209229156,26,"4683,4707","Congressional District 7","06"
"California","California District 8",8,"John Garamendi","Democratic",521,804247.31,1543.66086372361,15,"4610,4683,4707","Congressional District 8","06"
"California","California District 9",9,"Josh Harder","Democratic",2009,3622851.51,1803.31085614734,26,"4610,4683,4707","Congressional District 9","06"
"California","California District 10",10,"Mark DeSaulnier","Democratic",1159,3053826.23,2634.88026747196,27,"4683,4707","Congressional District 10","06"
"California","California District 11",11,"Nancy Pelosi","Democratic",0,0,NA,0,NA,"Congressional District 11","06"
"California","California District 12",12,"Lateefah Simon","Democratic",1346,3372761.64,2505.766448737,25,"4683","Congressional District 12","06"
"California","California District 13",13,"Adam Gray","Democratic",3392,5493444.04,1619.52949292453,30,"4683,4699","Congressional District 13","06"
